group_id,group_name,group_code
166,"Other financial service activities, except insurance and pension funding activities",K649
167,Insurance,K651
168,Reinsurance,K652
169,Pension funding,K653
170,Administration of financial markets,K661
171,Risk and damage evaluation,K662
172,Fund management activities,K663
173,Real estate activities with own or leased property,L681
174,Real estate activities on a fee or contract basis,L682
175,Legal Activities,M691
176,"Accounting, Bookkeeping And Auditing Activities; Tax Consultancy",M692
177,Activities of head offices,M701
178,Management consultancy activities,M702
179,Architectural and engineering activities and related technical consultancy,M711
180,Technical testing and analysis,M712
181,Research and experimental development on natural sciences and engineering,M721
182,Research and experimental development on social sciences and humanities,M722
183,Research and experimental development in information technology,M723
184,Advertising,M731
185,Market research and public opinion polling,M732
186,Specialized design activities,M741
187,Photographic activities,M742
188,"Other professional, scientific and technical activities, n.e.c.",M749
189,Veterinary activities,M750
190,Renting and leasing of motor vehicles,N771
191,Renting and leasing of personal and household goods,N772
192,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",N773
193,"Leasing of intellectual property and similar products, except copyrighted works",N774
194,Activities of employment placement agencies,N781
195,Temporary employment agency activities,N782
196,Other human resources provision,N783
197,Travel agency and tour operator activities,N791
198,Other reservation service and related activities,N799
199,Private security activites,N801
200,Security systems service activities,N802
201,Investigation activities,N803
202,Combined facilities support activities,N811
203,Cleaning activities,N812
204,Landscape care and maintenance service activities,N813
205,Office administrative and support activities,N821
206,Call centers and other related activities,N822
207,Organization of conventions and trade shows,N823
208,"Business support service activities, n.e.c.",N829
209,Administration of the State and the economic and social policy of the community,O841
210,Provision of services to the community as a whole,O842
211,Compulsory social security activities,O843
212,Pre-primary/pre-school education,P851
213,Primary/elementary education,P852
214,Secondary/High School Education,P853
215,Higher education,P854
216,Other education services,P855
217,Educational support services,P856
218,Hospital activities,Q861
219,Medical and dental practice activities,Q862
220,Other human health activities,Q869
221,Residential nursing care facilities,Q871
222,"Residential care activities for mental retardation, mental health and substance abuse",Q872
223,Residential care activities for the elderly and disabled,Q873
224,"Other residential care activities, n.e.c.",Q879
225,Social work activities without accommodation for the elderly and disabled,Q881
226,"Other social work activities without accommodation, n.e.c.",Q889
227,"Creative, arts and entertainment activities",R900
228,"Libraries, archives, museums and other cultural activities",R910
229,Gambling and betting activities,R920
230,Sports activities,R931
231,Other amusement and recreation activities,R932
232,"Activities of business, employers and professional membership organizations",S941
233,Activities of trade unions,S942
234,Activities of other membership organizations,S949
235,Repair of computers and communications equipment,S951
236,Repair of personal and household goods,S952
237,"Personal services for wellness, except sports activities",S961
238,Laundry services,S962
239,Funeral and related activities,S963
240,Domestic services,S964
241,"Other personal service activities, n.e.c.",S969
242,Activities of households as employers of domestic personnel,T970
243,Undifferentiated goods-producing activities of private households for own use,T981
244,Undifferentiated services-producing activities of private households for own use,T982
245,Activities of extra-territorial organizations and bodies,U990
