class_id,class_name,class_code
144,Manufacture of wooden containers,C1624
145,Manufacture of wood carvings,C1625
146,Manufacture of charcoal outside the forest,C1626
147,Manufacture of wooden wares,C1627
148,"Manufacture of products of bamboo, cane, rattan and the like, and plaiting materials except furniture",C1628
149,"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e.c.",C1629
150,"Manufacture of pulp, paper and paperboard",C1701
151,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,C1702
152,Manufacture of other articles of paper and paperboard,C1709
153,Printing,C1811
154,Service activities related to printing,C1812
155,Reproduction of recorded media,C1820
156,Manufacture of coke oven products,C1910
157,Manufacture of refined petroleum products,C1920
158,Manufacture of other fuel products,C1990
159,Manufacture of basic chemicals,C2011
160,Manufacture of fertilizers and nitrogen compounds,C2012
161,Manufacture of plastics and synthetic rubber in primary forms,C2013
162,Manufacture of pesticides and other agro-chemical products,C2021
163,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",C2022
164,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",C2023
165,"Manufacture of other chemical products, n.e.c.",C2029
166,Manufacture of man-made fibers,C2030
167,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",C2100
168,Manufacture of rubber tires and tubes; retreading and rebuilding of rubber tires,C2211
169,Manufacture of other rubber products,C2219
170,Manufacture of plastics products,C2220
171,Manufacture of glass and glass products,C2310
172,Manufacture of refractory products,C2391
173,Manufacture of clay building materials,C2392
174,Manufacture of other porcelain and ceramic products,C2393
175,Manufacture of cement,C2394
176,Manufacture of lime and plaster,C2395
177,"Manufacture of articles of concrete, cement and plaster",C2396
178,"Cutting, shaping and finishing of stone",C2397
179,"Manufacture of other non-metallic mineral products, n.e.c.",C2399
180,Operation of blast furnaces and steel making furnaces,C2411
181,Operation of steel works and rolling mills,C2412
182,Gold and other precious metal refining,C2421
183,"Non-ferrous smelting and refining , except precious metals",C2422
184,"Non-ferrous rolling, drawing and extrusion mills",C2423
185,Manufacture of pipe fittings of non-ferrous metals,C2424
186,"Manufacture of basic precious and other non-ferrous metals, n.e.c.",C2429
187,Casting of iron and steel,C2431
188,Casting of non-ferrous metals,C2432
189,Manufacture of structural metal products,C2511
190,"Manufacture of tanks, reservoirs and containers of metal",C2512
191,"Manufacture of steam generators, except central heating hot water boilers",C2513
192,Manufacture of weapons and ammunition,C2520
193,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",C2591
194,Treatment and coating of metals; machining,C2592
195,"Manufacture of cutlery, hand tools and general hardware",C2593
196,"Manufacture of other fabricated metal products, n.e.c.",C2599
197,Manufacture of electronic valves and tubes,C2611
198,Manufacture of semi-conductor devices and other electronic components,C2612
199,Manufacture of computers and peripheral equipment and accessories,C2620
200,Manufacture of communication equipment,C2630
201,Manufacture of consumer electronics,C2640
202,"Manufacture of measuring, testing, navigating and control equipment",C2651
203,Manufacture of watches and clocks,C2652
204,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",C2660
205,Manufacture of optical instruments and photographic equipment,C2670
206,Manufacture of magnetic and optical media,C2680
207,"Manufacture of electric motors, generators, transformers and electric generating sets",C2711
208,Manufacture of electricity distribution and control apparatus,C2712
209,Manufacture of batteries and accumulators,C2720
210,Manufacture of fiber optic cables,C2731
211,Manufacture of other electronic and electric wires and cables,C2732
212,Manufacture of wiring devices,C2733
213,Manufacture of electric lighting equipment,C2740
214,Manufacture of domestic appliances,C2750
215,Manufacture of other electrical equipment,C2790
216,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",C2811
217,Manufacture of fluid power equipment,C2812
218,"Manufacture of other pumps, compressors, taps and valves",C2813
219,"Manufacture of bearings, gears and driving elements",C2814
220,"Manufacture of ovens, furnaces and furnace burners",C2815
221,Manufacture of lifting and handling equipment,C2816
222,Manufacture of office machinery and equipment (except computers and peripheral equipment),C2817
223,Manufacture of power-driven hand tools,C2818
224,Manufacture of other general-purpose machinery,C2819
225,Manufacture of agricultural and forestry machinery,C2821
226,Manufacture of metal-forming machinery and machine tools,C2822
227,Manufacture of machinery for metallurgy,C2823
228,"Manufacture of machinery for mining, quarrying and construction",C2824
229,Manufacture of machinery for food beverage and tobacco processing,C2825
